B2c gmv,priority_5
5,0.4461900009657792,0.5004542481284977
6,0.4910199459977354,0.4944217632078904

R burn,priority_5
month,Old priority,New priority
1,121378344.0,114424140.0
2,132458522.0,180860639.0
3,199644153.0,209456847.0
4,154940575.0,152230624.0
5,164336221.0,170102451.0
6,176547265.0,143768713.0

R burn gmv,priority_5
month,Old priority,New priority
1,0.104718523,0.100093437
2,0.113990479,0.134557196
3,0.134236851,0.153950132
4,0.137684932,0.150540348
5,0.13305694,0.139532499
6,0.139118252,0.128249289

R burn per order,priority_5
month,Old priority,New priority
1,4473.952967194988,4955.785872060288
2,4955.796243639629,5921.702540763538
3,5982.743572070722,6998.4579170704
4,6222.513052208835,6685.578568291612
5,5928.435101010101,6175.886831499837
6,6263.428708269769,5876.986183215468

Ted,priority_5
month,Old priority,New priority
1,275165236.0,248833945.0
2,310298029.0,383841444.0
3,415432694.0,403582645.0
4,297914587.0,268535203.0
5,300212630.0,305010027.0
6,318068632.0,255059185.0

Ted gmv,priority_5
month,Old priority,New priority
1,0.237397349,0.217669496
2,0.267034693,0.285571414
3,0.279328875,0.296631991
4,0.26473601,0.265553551
5,0.243071026,0.250195169
6,0.250636292,0.22752627

B2c gmv,priority_5
month,Old priority,New priority
1,0.01460448,0.0123045
2,0.03869322,0.03908574
3,0.03879513,0.03382576
4,0.02367348,0.00825355
5,0.01557129,0.01117597
6,0.01606163,0.00162144

B2c per order,priority_5
month,Old priority,New priority
1,623.955879100627,609.215427259734
2,1682.208021550434,1720.117117412088
3,1729.043212466287,1537.693842092953
4,1069.895983935743,366.544620114185
5,693.788528138528,494.662890752641
6,723.132259552276,74.302007112783

B2c total burn,priority_5
month,Old priority,New priority
1,16927923.0,14066175.0
2,44962056.0,52535817.0
3,57698172.0,46021639.0
4,26640410.0,8346221.0
5,19231818.0,13624500.0
6,20382929.0,1817650.0

Bad rating rate,priority_5
month,Old priority,New priority
1,0.0311463324732768,0.0317034085495257
2,0.0296318467524693,0.0288127823980092
3,0.0308660473479172,0.0319088509472418
4,0.0306827309236947,0.0303030303030303
5,0.0313852813852813,0.0296627092183131
6,0.0304750416858835,0.0297592282222131

B cancel rate,priority_5
month,Old priority,New priority
1,0.0976429908320908,0.0818735575649805
2,0.0864460695897419,0.0791333565056192
3,0.0808750065730662,0.0842832570478994
4,0.0799205325711895,0.0786076093993982
5,0.0763884501168888,0.0757551644014387
6,0.0765818495471628,0.082228862717525

B p1p2,priority_5
month,Old priority,New priority
1,0.0019965667997197,0.0025058888729614
2,0.0023044270254011,0.0026530681642218
3,0.0021817035747358,0.0021039567527587
4,0.0019748726628195,0.0020212498130489
5,0.0020261109997959,0.0022339842747611
6,0.0019215040194743,0.001955867425865

Daily online hours,priority_5
month,Old priority,New priority
1,12825.00734767025,11002.268311111113
2,14751.903122605365,14757.734693486593
3,14025.617249103943,12940.157840501794
4,14229.403416666668,12500.199333333334
5,14546.843584229391,12823.101469534053
6,13786.398731481482,11814.17908333333

Daily orders,priority_5
month,Old priority,New priority
1,875.1612903225806,923.56
2,921.6551724137933,1053.1724137931035
3,1076.451612903226,965.451612903226
4,830.0,759.0
5,894.1935483870968,888.483870967742
6,939.5666666666668,815.4333333333333

Eff online rs,priority_5
month,Old priority,New priority
1,1806.3870967741937,1548.36
2,2060.689655172414,2060.793103448276
3,1963.1612903225807,1818.645161290323
4,1974.4333333333327,1744.8666666666666
5,2004.064516129032,1775.354838709677
6,1913.5,1649.2666666666669

Exposure uv,priority_5
month,Old priority,New priority
1,17527087,11726777
2,14555462,14233332
3,18992956,17868238
4,16007108,14462339
5,17203401,15638427
6,18572951,16438742

Healthy stores,priority_5
month,Old priority,New priority
1,1445.9032258064517,1230.52
2,1676.2758620689656,1677.1724137931035
3,1595.8709677419354,1469.354838709677
4,1613.9333333333334,1417.3666666666666
5,1637.451612903226,1436.3870967741937
6,1550.5333333333333,1323.9333333333334

Imperfect orders,priority_5
month,Old priority,New priority
1,844,704.0
2,822,905.0
3,1065,1011.0
4,808,694.0
5,836,778.0
6,812,660.0

Orders per eff online,priority_5
month,Old priority,New priority
1,0.4844815886281653,0.5964762716680875
2,0.4472556894243641,0.5110519886886535
3,0.5483256104374117,0.530863102628685
4,0.420373778130434,0.4349902571352156
5,0.4461900009657792,0.5004542481284977
6,0.4910199459977354,0.4944217632078904

R burn,priority_5
month,Old priority,New priority
1,121378344.0,114424140.0
2,132458522.0,180860639.0
3,199644153.0,209456847.0
4,154940575.0,152230624.0
5,164336221.0,170102451.0
6,176547265.0,143768713.0

R burn gmv,priority_5
month,Old priority,New priority
1,0.104718523,0.100093437
2,0.113990479,0.134557196
3,0.134236851,0.153950132
4,0.137684932,0.150540348
5,0.13305694,0.139532499
6,0.139118252,0.128249289

R burn per order,priority_5
month,Old priority,New priority
1,4473.952967194988,4955.785872060288
2,4955.796243639629,5921.702540763538
3,5982.743572070722,6998.4579170704
4,6222.513052208835,6685.578568291612
5,5928.435101010101,6175.886831499837
6,6263.428708269769,5876.986183215468

Ted,priority_5
month,Old priority,New priority
1,275165236.0,248833945.0
2,310298029.0,383841444.0
3,415432694.0,403582645.0
4,297914587.0,268535203.0
5,300212630.0,305010027.0
6,318068632.0,255059185.0

Ted gmv,priority_5
month,Old priority,New priority
1,0.237397349,0.217669496
2,0.267034693,0.285571414
3,0.279328875,0.296631991
4,0.26473601,0.265553551
5,0.243071026,0.250195169
6,0.250636292,0.22752627

B2c gmv,priority_5
month,Old priority,New priority
1,0.01460448,0.0123045
2,0.03869322,0.03908574
3,0.03879513,0.03382576
4,0.02367348,0.00825355
5,0.01557129,0.01117597
6,0.01606163,0.00162144

B2c per order,priority_5
month,Old priority,New priority
1,623.955879100627,609.215427259734
2,1682.208021550434,1720.117117412088
3,1729.043212466287,1537.693842092953
4,1069.895983935743,366.544620114185
5,693.788528138528,494.662890752641
6,723.132259552276,74.302007112783

B2c total burn,priority_5
month,Old priority,New priority
1,16927923.0,14066175.0
2,44962056.0,52535817.0
3,57698172.0,46021639.0
4,26640410.0,8346221.0
5,19231818.0,13624500.0
6,20382929.0,1817650.0

Bad rating rate,priority_5
month,Old priority,New priority
1,0.0311463324732768,0.0317034085495257
2,0.0296318467524693,0.0288127823980092
3,0.0308660473479172,0.0319088509472418
4,0.0306827309236947,0.0303030303030303
5,0.0313852813852813,0.0296627092183131
6,0.0304750416858835,0.0297592282222131

B cancel rate,priority_5
month,Old priority,New priority
1,0.0976429908320908,0.0818735575649805
2,0.0864460695897419,0.0791333565056192
3,0.0808750065730662,0.0842832570478994
4,0.0799205325711895,0.0786076093993982
5,0.0763884501168888,0.0757551644014387
6,0.0765818495471628,0.082228862717525

B p1p2,priority_5
month,Old priority,New priority
1,0.0019965667997197,0.0025058888729614
2,0.0023044270254011,0.0026530681642218
3,0.0021817035747358,0.0021039567527587
4,0.0019748726628195,0.0020212498130489
5,0.0020261109997959,0.0022339842747611
6,0.0019215040194743,0.001955867425865

Daily online hours,priority_5
month,Old priority,New priority
1,12825.00734767025,11002.268311111113
2,14751.903122605365,14757.734693486593
3,14025.617249103943,12940.157840501794
4,14229.403416666668,12500.199333333334
5,14546.843584229391,12823.101469534053
6,13786.398731481482,11814.17908333333

Daily orders,priority_5
