B2c gmv,Old_2_vs_New_1
1,1196.7814068100358,428.04018817204303
2,1158.0455172413792,279.09800766283524
3,1140.1621594982078,921.3635304659498
4,774.1415092592591,990.3917870370371
5,672.9741935483871,976.3100448028672
6,756.8731851851852,1085.057037037037

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,1510.1612903225807,64.12903225806451
2,1108.9655172413793,32.241379310344826
3,1074.032258064516,1032.645161290323
4,980.8333333333334,1046.4
5,1088.258064516129,1206.354838709677
6,1230.5333333333333,1306.4666666666667

Eff online rs,Old_2_vs_New_1
month,Old priority,New priority
1,125.7741935483871,61.2258064516129
2,123.51724137931036,42.689655172413794
3,122.48387096774194,97.83870967741936
4,82.06666666666666,103.76666666666668
5,71.12903225806451,107.6774193548387
6,80.06666666666666,119.3

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,3889871,447854
2,2441175,270783
3,2332064,2001742
4,1571500,1804646
5,1787883,2177771
6,2138283,2488990

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,114.2258064516129,49.74193548387097
2,113.58620689655172,34.03448275862069
3,108.96774193548389,86.29032258064517
4,75.0,91.83333333333331
5,65.19354838709677,95.12903225806453
6,72.16666666666667,105.33333333333331

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,1109,71.0
2,685,33.0
3,806,721.0
4,631,671.0
5,728,859.0
6,810,860.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,12.00692485252629,1.047418335089568
2,8.97822445561139,0.7552504038772213
3,8.7687648143271,10.554566435872074
4,11.95166531275386,10.084163186636683
5,15.299773242630383,11.203415218693827
6,15.36885928393006,10.95110366024029

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,598504.87,16627.33
2,378084.82,5700.09
3,408820.97,417070.56
4,381518.1,410397.87
5,397323.84,438141.79
6,431977.91,458352.46

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.285324325,0.211924104
2,0.279384728,0.159419041
3,0.286839988,0.299954771
4,0.311544534,0.30985483
5,0.287311487,0.283819995
6,0.286458927,0.282646708

R burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,12.7844680123892,8.3638480885312
2,11.7563687810945,6.0963529411765
3,12.2787496621114,13.0285692865176
4,12.9657807986406,13.0733266437309
5,11.7774436803415,11.715960905955
6,11.701644544371,11.6944547634842

Ted,Old_2_vs_New_1
month,Old priority,New priority
1,967228.81,28809.51
2,569778.59,12241.09
3,593056.23,596705.66
4,535070.75,575563.3
5,596005.53,656587.39
6,641700.34,684078.06

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.461105534,0.367192424
2,0.421036307,0.342356495
3,0.416104491,0.429147311
4,0.436934362,0.434556516
5,0.430981527,0.425324938
6,0.425532849,0.421842204

B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.08594028,0.03793286
2,0.06450091,0.07043637
3,0.06670139,0.06976465
4,0.07080023,0.06892548
5,0.07828684,0.0732791
6,0.07362078,0.07152239

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,3.85070853359,1.497067404427
2,2.714165733831,2.693561497326
3,2.855284276918,3.030235536674
4,2.946545794393,2.908088685015
5,3.209126452454,3.024927935396
6,3.007356972586,2.959225391642

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,180270.92,2976.17
2,87287.57,2518.48
3,95066.69,97003.9
4,86702.11,91290.72
5,108263.09,113123.23
6,111019.59,115983.88

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0240948413969881,0.0352112676056338
2,0.0220771144278606,0.0288770053475935
3,0.0239675626971016,0.0229289016618767
4,0.0211384876805437,0.02118374108053
5,0.0203936447711643,0.0216594914030537
6,0.0217520858164481,0.0223503597489411

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0081115755493937,0.0670339761248852
2,0.0100419664268585,0.0812854442344045
3,0.0095544167462868,0.0083260430178889
4,0.0094942903752039,0.0095037281505928
5,0.0093835674514569,0.0116784978245935
6,0.0085808069059988,0.0105659460772407

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.0128883451404943,0.005162396673916
2,0.0140821530615379,0.0041472322856309
3,0.0152315716892846,0.0169462398251123
4,0.0198345529748647,0.0185094472821816
5,0.0201500881209788,0.0185060780036101
6,0.0186649755902282,0.0170731903302142

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,1196.7814068100358,428.04018817204303
2,1158.0455172413792,279.09800766283524
3,1140.1621594982078,921.3635304659498
4,774.1415092592591,990.3917870370371
5,672.9741935483871,976.3100448028672
6,756.8731851851852,1085.057037037037

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,1510.1612903225807,64.12903225806451
2,1108.9655172413793,32.241379310344826
3,1074.032258064516,1032.645161290323
4,980.8333333333334,1046.4
5,1088.258064516129,1206.354838709677
6,1230.5333333333333,1306.4666666666667

Eff online rs,Old_2_vs_New_1
month,Old priority,New priority
1,125.7741935483871,61.2258064516129
2,123.51724137931036,42.689655172413794
3,122.48387096774194,97.83870967741936
4,82.06666666666666,103.76666666666668
5,71.12903225806451,107.6774193548387
6,80.06666666666666,119.3

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,3889871,447854
2,2441175,270783
3,2332064,2001742
4,1571500,1804646
5,1787883,2177771
6,2138283,2488990

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,114.2258064516129,49.74193548387097
2,113.58620689655172,34.03448275862069
3,108.96774193548389,86.29032258064517
4,75.0,91.83333333333331
5,65.19354838709677,95.12903225806453
6,72.16666666666667,105.33333333333331

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,1109,71.0
2,685,33.0
3,806,721.0
4,631,671.0
5,728,859.0
6,810,860.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,12.00692485252629,1.047418335089568
2,8.97822445561139,0.7552504038772213
3,8.7687648143271,10.554566435872074
4,11.95166531275386,10.084163186636683
5,15.299773242630383,11.203415218693827
6,15.36885928393006,10.95110366024029

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,598504.87,16627.33
2,378084.82,5700.09
3,408820.97,417070.56
4,381518.1,410397.87
5,397323.84,438141.79
6,431977.91,458352.46

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.285324325,0.211924104
2,0.279384728,0.159419041
3,0.286839988,0.299954771
4,0.311544534,0.30985483
5,0.287311487,0.283819995
6,0.286458927,0.282646708

R burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,12.7844680123892,8.3638480885312
2,11.7563687810945,6.0963529411765
3,12.2787496621114,13.0285692865176
4,12.9657807986406,13.0733266437309
5,11.7774436803415,11.715960905955
6,11.701644544371,11.6944547634842

Ted,Old_2_vs_New_1
month,Old priority,New priority
1,967228.81,28809.51
2,569778.59,12241.09
3,593056.23,596705.66
4,535070.75,575563.3
5,596005.53,656587.39
6,641700.34,684078.06

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.461105534,0.367192424
2,0.421036307,0.342356495
3,0.416104491,0.429147311
4,0.436934362,0.434556516
5,0.430981527,0.425324938
6,0.425532849,0.421842204

B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.08594028,0.03793286
2,0.06450091,0.07043637
3,0.06670139,0.06976465
4,0.07080023,0.06892548
5,0.07828684,0.0732791
6,0.07362078,0.07152239

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,3.85070853359,1.497067404427
2,2.714165733831,2.693561497326
3,2.855284276918,3.030235536674
4,2.946545794393,2.908088685015
5,3.209126452454,3.024927935396
6,3.007356972586,2.959225391642

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,180270.92,2976.17
2,87287.57,2518.48
3,95066.69,97003.9
4,86702.11,91290.72
5,108263.09,113123.23
6,111019.59,115983.88

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0240948413969881,0.0352112676056338
2,0.0220771144278606,0.0288770053475935
3,0.0239675626971016,0.0229289016618767
4,0.0211384876805437,0.02118374108053
5,0.0203936447711643,0.0216594914030537
6,0.0217520858164481,0.0223503597489411

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0081115755493937,0.0670339761248852
2,0.0100419664268585,0.0812854442344045
3,0.0095544167462868,0.0083260430178889
4,0.0094942903752039,0.0095037281505928
5,0.0093835674514569,0.0116784978245935
6,0.0085808069059988,0.0105659460772407

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.0128883451404943,0.005162396673916
2,0.0140821530615379,0.0041472322856309
3,0.0152315716892846,0.0169462398251123
4,0.0198345529748647,0.0185094472821816
5,0.0201500881209788,0.0185060780036101
6,0.0186649755902282,0.0170731903302142

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,1196.7814068100358,428.04018817204303
2,1158.0455172413792,279.09800766283524
3,1140.1621594982078,921.3635304659498
4,774.1415092592591,990.3917870370371
5,672.9741935483871,976.3100448028672
6,756.8731851851852,1085.057037037037

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,1510.1612903225807,64.12903225806451
2,1108.9655172413793,32.241379310344826
3,1074.032258064516,1032.645161290323
4,980.8333333333334,1046.4
5,1088.258064516129,1206.354838709677
6,1230.5333333333333,1306.4666666666667

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,3889871,447854
2,2441175,270783
3,2332064,2001742
4,1571500,1804646
5,1787883,2177771
6,2138283,2488990

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,114.2258064516129,49.74193548387097
2,113.58620689655172,34.03448275862069
3,108.96774193548389,86.29032258064517
4,75.0,91.83333333333331
5,65.19354838709677,95.12903225806453
6,72.16666666666667,105.33333333333331

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,1109,71.0
2,685,33.0
3,806,721.0
4,631,671.0
5,728,859.0
6,810,860.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,12.00692485252629,1.047418335089568
2,8.97822445561139,0.7552504038772213
3,8.7687648143271,10.554566435872074
4,11.95166531275386,10.084163186636683
5,15.299773242630383,11.203415218693827
6,15.36885928393006,10.95110366024029

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,598504.87,16627.33
2,378084.82,5700.09
3,408820.97,417070.56
4,381518.1,410397.87
5,397323.84,438141.79
6,431977.91,458352.46

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.285324325,0.211924104
2,0.279384728,0.159419041
3,0.286839988,0.299954771
4,0.311544534,0.30985483
5,0.287311487,0.283819995
6,0.286458927,0.282646708

R burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,12.7844680123892,8.3638480885312
2,11.7563687810945,6.0963529411765
3,12.2787496621114,13.0285692865176
4,12.9657807986406,13.0733266437309
5,11.7774436803415,11.715960905955
6,11.701644544371,11.6944547634842

Ted,Old_2_vs_New_1
month,Old priority,New priority
1,967228.81,28809.51
2,569778.59,12241.09
3,593056.23,596705.66
4,535070.75,575563.3
5,596005.53,656587.39
6,641700.34,684078.06

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.461105534,0.367192424
2,0.421036307,0.342356495
3,0.416104491,0.429147311
4,0.436934362,0.434556516
5,0.430981527,0.425324938
6,0.425532849,0.421842204




