B2c gmv,priority_4
5,715.0,176.19354838709677
6,779.3,181.3

Eff online rs,priority_4
month,Old priority,New priority
1,317.4193548387097,149.4
2,328.2758620689655,151.6206896551724
3,321.4193548387097,112.03225806451611
4,290.76666666666665,127.7
5,269.83870967741933,96.74193548387096
6,284.8333333333333,95.06666666666666

Exposure uv,priority_4
month,Old priority,New priority
1,3696555,1259575
2,3254201,1563052
3,3258080,1299208
4,2618219,967426
5,2692937,906273
6,2916272,899571

Healthy stores,priority_4
month,Old priority,New priority
1,260.80645161290323,118.72
2,267.9310344827586,126.06896551724138
3,261.1290322580645,93.25806451612904
4,242.3333333333333,103.6
5,229.74193548387092,81.61290322580645
6,239.46666666666667,78.23333333333333

Imperfect orders,priority_4
month,Old priority,New priority
1,552,212.0
2,515,195.0
3,526,237.0
4,526,119.0
5,602,153.0
6,604,164.0

Orders per eff online,priority_4
month,Old priority,New priority
1,2.019715447154472,1.8278447121820616
2,1.815126050420168,1.5392312940641346
3,1.840726615816941,2.21249640080622
4,2.2001604952424625,1.0634299138606107
5,2.64973102211596,1.8212737579193063
6,2.7359859566998246,1.9070827489481064

R burn,priority_4
month,Old priority,New priority
1,195793.43,69298.73
2,157358.46,50075.7
3,181987.11,69595.55
4,197015.26,33035.62
5,230527.97,51908.49
6,235958.8,52746.44

R burn gmv,priority_4
month,Old priority,New priority
1,0.226252498,0.237427626
2,0.217636041,0.187458861
3,0.227164613,0.219757924
4,0.241865223,0.199992009
5,0.245219606,0.223229361
6,0.236258596,0.241470348

R burn per order,priority_4
month,Old priority,New priority
1,9.8517374459092,10.1506855134027
2,9.1063923611111,7.3988918439716
3,9.9224202606183,9.0572032795419
4,10.2654887453105,8.1088905252823
5,10.4005400406046,9.5035682900037
6,10.0927670131314,9.6978194521052

Ted,priority_4
month,Old priority,New priority
1,337008.36,117214.05
2,262872.18,89079.67
3,294495.01,114661.42
4,293593.59,49891.99
5,351410.99,84336.8
6,374145.72,73697.33

Ted gmv,priority_4
month,Old priority,New priority
1,0.389435863,0.401592548
2,0.363567746,0.333470595
3,0.367602107,0.362059867
4,0.360429335,0.302037598
5,0.373806548,0.362685372
6,0.374621088,0.337382389

B2c gmv,priority_4
month,Old priority,New priority
1,0.05824565,0.06142585
2,0.05454772,0.0504576
3,0.06666694,0.06947722
4,0.04911723,0.02733219
5,0.04380585,0.05629496
6,0.05202269,0.00748888

B2c per order,priority_4
month,Old priority,New priority
1,2.536196538191,2.626124212685
2,2.282402199074,1.991532210402
3,2.911973720081,2.863465642894
4,2.084683201334,1.108213058419
5,1.857944958268,2.39665140974
6,2.222365370632,0.300764846479

B2c total burn,priority_4
month,Old priority,New priority
1,50404.37,17928.55
2,39439.91,13478.69
3,53408.51,22002.87
4,40009.24,4514.86
5,41181.35,13090.51
6,51956.68,1635.86

Bad rating rate,priority_4
month,Old priority,New priority
1,0.0289825903190097,0.0335432840193349
2,0.0302662037037037,0.0289598108747044
3,0.0294967559020773,0.027980218636127
4,0.0279804085035431,0.0272459499263622
5,0.0276110985788405,0.0278286341999267
6,0.0286581975276957,0.0294171722743151

B cancel rate,priority_4
month,Old priority,New priority
1,0.0272351347497504,0.0314042786615469
2,0.0292598031217708,0.0310507346825616
3,0.0254627262501278,0.0344785869828212
4,0.024886546625677,0.0258877434135166
5,0.0257368376857838,0.0252172431419321
6,0.0264738422633159,0.0306707111560498

B p1p2,priority_4
month,Old priority,New priority
1,0.0061868415321833,0.0062949804497548
2,0.0061462091616344,0.0049831995352681
3,0.0064498109315916,0.0067656603099734
4,0.0083740130218289,0.0048344782960143
5,0.0094190840706633,0.006802585975749
6,0.0092268485244174,0.007070036717502

Daily online hours,priority_4
month,Old priority,New priority
1,2580.75335125448,1150.5022222222224
2,2624.7985344827584,1285.0189463601532
3,2560.4700985663085,971.4636738351252
4,2417.3738703703707,1061.1120000000003
5,2250.8289964157702,862.6281720430109
6,2360.4370092592594,802.4213333333333

Daily orders,priority_4
month,Old priority,New priority
1,641.0967741935484,273.08
2,595.8620689655172,233.3793103448276
3,591.6451612903226,247.8709677419355
4,639.7333333333333,135.8
5,715.0,176.19354838709677
6,779.3,181.3

Eff online rs,priority_4
month,Old priority,New priority
1,317.4193548387097,149.4
2,328.2758620689655,151.6206896551724
3,321.4193548387097,112.03225806451611
4,290.76666666666665,127.7
5,269.83870967741933,96.74193548387096
6,284.8333333333333,95.06666666666666

Exposure uv,priority_4
month,Old priority,New priority
1,3696555,1259575
2,3254201,1563052
3,3258080,1299208
4,2618219,967426
5,2692937,906273
6,2916272,899571

Healthy stores,priority_4
month,Old priority,New priority
1,260.80645161290323,118.72
2,267.9310344827586,126.06896551724138
3,261.1290322580645,93.25806451612904
4,242.3333333333333,103.6
5,229.74193548387092,81.61290322580645
6,239.46666666666667,78.23333333333333

Imperfect orders,priority_4
month,Old priority,New priority
1,552,212.0
2,515,195.0
3,526,237.0
4,526,119.0
5,602,153.0
6,604,164.0

Orders per eff online,priority_4
month,Old priority,New priority
1,2.019715447154472,1.8278447121820616
2,1.815126050420168,1.5392312940641346
3,1.840726615816941,2.21249640080622
4,2.2001604952424625,1.0634299138606107
5,2.64973102211596,1.8212737579193063
6,2.7359859566998246,1.9070827489481064

R burn,priority_4
month,Old priority,New priority
1,195793.43,69298.73
2,157358.46,50075.7
3,181987.11,69595.55
4,197015.26,33035.62
5,230527.97,51908.49
6,235958.8,52746.44

R burn gmv,priority_4
month,Old priority,New priority
1,0.226252498,0.237427626
2,0.217636041,0.187458861
3,0.227164613,0.219757924
4,0.241865223,0.199992009
5,0.245219606,0.223229361
6,0.236258596,0.241470348

R burn per order,priority_4
month,Old priority,New priority
1,9.8517374459092,10.1506855134027
2,9.1063923611111,7.3988918439716
3,9.9224202606183,9.0572032795419
4,10.2654887453105,8.1088905252823
5,10.4005400406046,9.5035682900037
6,10.0927670131314,9.6978194521052

Ted,priority_4
month,Old priority,New priority
1,337008.36,117214.05
2,262872.18,89079.67
3,294495.01,114661.42
4,293593.59,49891.99
5,351410.99,84336.8
6,374145.72,73697.33

Ted gmv,priority_4
month,Old priority,New priority
1,0.389435863,0.401592548
2,0.363567746,0.333470595
3,0.367602107,0.362059867
4,0.360429335,0.302037598
5,0.373806548,0.362685372
6,0.374621088,0.337382389

B2c gmv,priority_4
month,Old priority,New priority
1,0.05824565,0.06142585
2,0.05454772,0.0504576
3,0.06666694,0.06947722
4,0.04911723,0.02733219
5,0.04380585,0.05629496
6,0.05202269,0.00748888

B2c per order,priority_4
month,Old priority,New priority
1,2.536196538191,2.626124212685
2,2.282402199074,1.991532210402
3,2.911973720081,2.863465642894
4,2.084683201334,1.108213058419
5,1.857944958268,2.39665140974
6,2.222365370632,0.300764846479

B2c total burn,priority_4
month,Old priority,New priority
1,50404.37,17928.55
2,39439.91,13478.69
3,53408.51,22002.87
4,40009.24,4514.86
5,41181.35,13090.51
6,51956.68,1635.86

Bad rating rate,priority_4
month,Old priority,New priority
1,0.0289825903190097,0.0335432840193349
2,0.0302662037037037,0.0289598108747044
3,0.0294967559020773,0.027980218636127
4,0.0279804085035431,0.0272459499263622
5,0.0276110985788405,0.0278286341999267
6,0.0286581975276957,0.0294171722743151

B cancel rate,priority_4
month,Old priority,New priority
1,0.0272351347497504,0.0314042786615469
2,0.0292598031217708,0.0310507346825616
3,0.0254627262501278,0.0344785869828212
4,0.024886546625677,0.0258877434135166
5,0.0257368376857838,0.0252172431419321
6,0.0264738422633159,0.0306707111560498

B p1p2,priority_4
month,Old priority,New priority
1,0.0061868415321833,0.0062949804497548
2,0.0061462091616344,0.0049831995352681
3,0.0064498109315916,0.0067656603099734
4,0.0083740130218289,0.0048344782960143
5,0.0094190840706633,0.006802585975749
6,0.0092268485244174,0.007070036717502

Daily online hours,priority_4
month,Old priority,New priority
1,2580.75335125448,1150.5022222222224
2,2624.7985344827584,1285.0189463601532
3,2560.4700985663085,971.4636738351252
4,2417.3738703703707,1061.1120000000003
5,2250.8289964157702,862.6281720430109
6,2360.4370092592594,802.4213333333333

Daily orders,priority_4
month,Old priority,New priority
1,641.0967741935484,273.08
2,595.8620689655172,233.3793103448276
3,591.6451612903226,247.8709677419355
4,639.7333333333333,135.8
5,715.0,176.19354838709677
6,779.3,181.3

Exposure uv,priority_4
month,Old priority,New priority
1,3696555,1259575
2,3254201,1563052
3,3258080,1299208
4,2618219,967426
5,2692937,906273
6,2916272,899571

Healthy stores,priority_4
month,Old priority,New priority
1,260.80645161290323,118.72
2,267.9310344827586,126.06896551724138
3,261.1290322580645,93.25806451612904
4,242.3333333333333,103.6
5,229.74193548387092,81.61290322580645
6,239.46666666666667,78.23333333333333

Imperfect orders,priority_4
month,Old priority,New priority
1,552,212.0
2,515,195.0
3,526,237.0
4,526,119.0
5,602,153.0
6,604,164.0

Orders per eff online,priority_4
month,Old priority,New priority
1,2.019715447154472,1.8278447121820616
2,1.815126050420168,1.5392312940641346
3,1.840726615816941,2.21249640080622
4,2.2001604952424625,1.0634299138606107
5,2.64973102211596,1.8212737579193063
6,2.7359859566998246,1.9070827489481064

R burn,priority_4
month,Old priority,New priority
1,195793.43,69298.73
2,157358.46,50075.7
3,181987.11,69595.55
4,197015.26,33035.62
5,230527.97,51908.49
6,235958.8,52746.44

R burn gmv,priority_4
month,Old priority,New priority
1,0.226252498,0.237427626
2,0.217636041,0.187458861
3,0.227164613,0.219757924
4,0.241865223,0.199992009
5,0.245219606,0.223229361
6,0.236258596,0.241470348

R burn per order,priority_4
month,Old priority,New priority
1,9.8517374459092,10.1506855134027
2,9.1063923611111,7.3988918439716
3,9.9224202606183,9.0572032795419
4,10.2654887453105,8.1088905252823
5,10.4005400406046,9.5035682900037
6,10.0927670131314,9.6978194521052

Ted,priority_4
month,Old priority,New priority
1,337008.36,117214.05
2,262872.18,89079.67
3,294495.01,114661.42
4,293593.59,49891.99
5,351410.99,84336.8
6,374145.72,73697.33

Ted gmv,priority_4
month,Old priority,New priority
1,0.389435863,0.401592548
2,0.363567746,0.333470595
3,0.367602107,0.362059867
4,0.360429335,0.302037598
5,0.373806548,0.362685372
6,0.374621088,0.337382389




