Exposure uv,Old_1_vs_New_Rs
1,1796081.0,1796081.0
2,2627791.0,2627791.0
3,3494821.0,3494821.0
4,2785870.0,2785870.0
5,4124218.0,4124218.0
6,4427666.0,4427666.0

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.26330329,0.26330329
2,0.314128491,0.314128491
3,0.283359553,0.283359553
4,0.278288619,0.278288619
5,0.28411675,0.28411675
6,0.272877695,0.272877695

B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.04854326,0.04854326
2,0.09557629,0.09557629
3,0.12110743,0.12110743
4,0.15242677,0.15242677
5,0.15067002,0.15067002
6,0.12711433,0.12711433

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,399.433051869723,399.433051869723
2,925.37962962963,925.37962962963
3,1083.94847605225,1083.94847605225
4,1288.768581081081,1288.768581081081
5,1267.892753623188,1267.892753623188
6,1044.850557244174,1044.850557244174

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,331130.0,331130.0
2,799528.0,799528.0
3,1493681.0,1493681.0
4,1525902.0,1525902.0
5,2187115.0,2187115.0
6,2062535.0,2062535.0

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0554885404101326,0.0554885404101326
2,0.0335648148148148,0.0335648148148148
3,0.0261248185776487,0.0261248185776487
4,0.0320945945945945,0.0320945945945945
5,0.0237681159420289,0.0237681159420289
6,0.0283687943262411,0.0283687943262411

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0502136752136752,0.0502136752136752
2,0.042149631190727,0.042149631190727
3,0.050437121721587,0.050437121721587
4,0.052466718872357,0.052466718872357
5,0.0496529631607047,0.0496529631607047
6,0.0539916935856022,0.0539916935856022

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0052006330300064,0.0052006330300064
2,0.0053748539441862,0.0053748539441862
3,0.0053094408495105,0.0053094408495105
4,0.0055024580141242,0.0055024580141242
5,0.0070490180681307,0.0070490180681307
6,0.0076737759271059,0.0076737759271059

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,264.71750000000003,264.71750000000003
2,325.06894636015323,325.0689463601533
3,371.3060035842294,371.30600358422936
4,333.89883333333336,333.89883333333336
5,275.1104659498208,275.1104659498208
6,257.6133888888889,257.6133888888889

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,26.741935483870968,26.741935483870968
2,29.79310344827586,29.79310344827586
3,44.45161290322581,44.45161290322581
4,39.46666666666667,39.46666666666667
5,55.64516129032258,55.64516129032258
6,65.8,65.8

Eff online rs,Old_1_vs_New_Rs
month,Old priority,New priority
1,32.225806451612904,32.225806451612904
2,37.58620689655172,37.58620689655172
3,43.64516129032258,43.64516129032258
4,41.53333333333333,41.53333333333333
5,35.483870967741936,35.483870967741936
6,32.766666666666666,32.766666666666666

Exposure uv,Old_1_vs_New_Rs
month,Old priority,New priority
1,192092,192092
2,184005,184005
3,289296,289296
4,240438,240438
5,273797,273797
6,293467,293467

Healthy stores,Old_1_vs_New_Rs
month,Old priority,New priority
1,24.06451612903226,24.06451612903226
2,29.89655172413793,29.89655172413793
3,34.774193548387096,34.774193548387096
4,33.43333333333333,33.43333333333333
5,29.580645161290324,29.580645161290324
6,27.5,27.5

Imperfect orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,46,46.0
2,33,33.0
3,39,39.0
4,32,32.0
5,49,49.0
6,65,65.0

Orders per eff online,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.8298298298298298,0.8298298298298298
2,0.7926605504587156,0.7926605504587156
3,1.0184774575018478,1.0184774575018478
4,0.9502407704654896,0.9502407704654896
5,1.568181818181818,1.568181818181818
6,2.008138351983724,2.008138351983724

R burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,1120378.0,1120378.0
2,1388526.0,1388526.0
3,1450444.0,1450444.0
4,732372.0,732372.0
5,1066337.0,1066337.0
6,1268614.0,1268614.0

R burn gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.164246052,0.164246052
2,0.165985642,0.165985642
3,0.117601778,0.117601778
4,0.073158759,0.073158759
5,0.073459794,0.073459794
6,0.078184864,0.078184864

R burn per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,1351.481302774427,1351.481302774427
2,1607.0902777777778,1607.0902777777778
3,1052.5718432510885,1052.5718432510885
4,618.5574324324324,618.5574324324324
5,618.1663768115942,618.1663768115942
6,642.661600810537,642.661600810537

Ted,Old_1_vs_New_Rs
month,Old priority,New priority
1,1796081.0,1796081.0
2,2627791.0,2627791.0
3,3494821.0,3494821.0
4,2785870.0,2785870.0
5,4124218.0,4124218.0
6,4427666.0,4427666.0

Ted gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.26330329,0.26330329
2,0.314128491,0.314128491
3,0.283359553,0.283359553
4,0.278288619,0.278288619
5,0.28411675,0.28411675
6,0.272877695,0.272877695

B2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.04854326,0.04854326
2,0.09557629,0.09557629
3,0.12110743,0.12110743
4,0.15242677,0.15242677
5,0.15067002,0.15067002
6,0.12711433,0.12711433

B2c per order,Old_1_vs_New_Rs
month,Old priority,New priority
1,399.433051869723,399.433051869723
2,925.37962962963,925.37962962963
3,1083.94847605225,1083.94847605225
4,1288.768581081081,1288.768581081081
5,1267.892753623188,1267.892753623188
6,1044.850557244174,1044.850557244174

B2c total burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,331130.0,331130.0
2,799528.0,799528.0
3,1493681.0,1493681.0
4,1525902.0,1525902.0
5,2187115.0,2187115.0
6,2062535.0,2062535.0

Bad rating rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0554885404101326,0.0554885404101326
2,0.0335648148148148,0.0335648148148148
3,0.0261248185776487,0.0261248185776487
4,0.0320945945945945,0.0320945945945945
5,0.0237681159420289,0.0237681159420289
6,0.0283687943262411,0.0283687943262411

B cancel rate,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0502136752136752,0.0502136752136752
2,0.042149631190727,0.042149631190727
3,0.050437121721587,0.050437121721587
4,0.052466718872357,0.052466718872357
5,0.0496529631607047,0.0496529631607047
6,0.0539916935856022,0.0539916935856022

B p1p2,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.0052006330300064,0.0052006330300064
2,0.0053748539441862,0.0053748539441862
3,0.0053094408495105,0.0053094408495105
4,0.0055024580141242,0.0055024580141242
5,0.0070490180681307,0.0070490180681307
6,0.0076737759271059,0.0076737759271059

Daily online hours,Old_1_vs_New_Rs
month,Old priority,New priority
1,264.71750000000003,264.71750000000003
2,325.06894636015323,325.0689463601533
3,371.3060035842294,371.30600358422936
4,333.89883333333336,333.89883333333336
5,275.1104659498208,275.1104659498208
6,257.6133888888889,257.6133888888889

Daily orders,Old_1_vs_New_Rs
month,Old priority,New priority
1,26.741935483870968,26.741935483870968
2,29.79310344827586,29.79310344827586
3,44.45161290322581,44.45161290322581
4,39.46666666666667,39.46666666666667
5,55.64516129032258,55.64516129032258
6,65.8,65.8

Eff online rs,Old_1_vs_New_Rs
month,Old priority,New priority
1,32.225806451612904,32.225806451612904
2,37.58620689655172,37.58620689655172
3,43.64516129032258,43.64516129032258
4,41.53333333333333,41.53333333333333
5,35.483870967741936,35.483870967741936
6,32.766666666666666,32.766666666666666

