B2c gmv,priority_4
month,Old priority,New priority
1,2.800819414,2.404261812
2,2.533934996,2.236756114
3,2.750416246,2.681334601
4,2.491058404,2.599434953
5,2.866213758,2.947609045

Ted gmv,priority_4
month,Old priority,New priority
1,0.317209878,0.308376771
2,0.316712639,0.311839755
3,0.323790363,0.327252355
4,0.320344292,0.346227009
5,0.321612825,0.353189804

Bad rating rate,priority_4
month,Old priority,New priority
1,0.02923371216,0.03215230037
2,0.02529239062,0.02813316216
3,0.02891819743,0.03116769096
4,0.02874834624,0.03073787892
5,0.02820962655,0.03125829665

B cancel rate,priority_4
month,Old priority,New priority
1,0.03473154362,0.03747201383
2,0.03185445692,0.03278688525
3,0.03148180651,0.03021666562
4,0.03108823853,0.02898983861
5,0.02934535286,0.02547021944

B p1p2,priority_4
month,Old priority,New priority
1,0.006962097432,0.005509006026
2,0.00680570265,0.005415466345
3,0.006664940423,0.005709414929
4,0.006674399533,0.006090256622
5,0.006862624114,0.006309635301

Daily orders,priority_4
month,Old priority,New priority
1,2866.774194,1525.0
2,2865.793103,1557.862069
3,3250.548387,1910.580645
4,3073.8,1962.833333
5,3456.83871,2308.548387

Exposure uv,priority_4
month,Old priority,New priority
1,14647741,10034115
2,13917740,9610622
3,17371048,11826781
4,15982861,11044198
5,17835743,12863501

Healthy stores,priority_4
month,Old priority,New priority
1,909.0967742,566.9032258
2,1015.482759,629.5172414
3,1059.451613,643.0645161
4,1114.3,685.7666667
5,1082.83871,708.4516129

Imperfect orders,priority_4
month,Old priority,New priority
1,2530.0,1452.0
2,2193.0,1293.0
3,2960.0,1849.0
4,2631.0,1763.0
5,2947.0,2162.0

Orders per eff online,priority_4
month,Old priority,New priority
1,2.800819414,2.404261812
2,2.533934996,2.236756114
3,2.750416246,2.681334601
4,2.491058404,2.599434953
5,2.866213758,2.947609045

Ted gmv,priority_4
month,Old priority,New priority
1,0.317209878,0.308376771
2,0.316712639,0.311839755
3,0.323790363,0.327252355
4,0.320344292,0.346227009
5,0.321612825,0.353189804




