B2c gmv,Old_2_vs_New_1
4,0.0122772775257717,0.0133699704317598
5,0.01190134014769,0.0127797349407203
6,0.012272179694941,0.0128173464898213

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,4865.255331541218,436.2712634408602
2,4659.040680076629,269.1661781609195
3,4551.541120071684,2933.9222043010755
4,5181.26361111111,2959.2643148148145
5,5319.551173835125,3173.255
6,6145.3073796296285,3882.9487129629615

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,8202.90322580645,128.93548387096774
2,7537.448275862069,85.13793103448276
3,7871.677419354839,6337.096774193548
4,8845.366666666667,6494.0
5,10167.612903225809,7459.225806451613
6,11735.3,8373.133333333333

Eff online rs,Old_2_vs_New_1
month,Old priority,New priority
1,559.0322580645161,58.74193548387097
2,533.2068965517242,34.10344827586207
3,521.8709677419355,324.16129032258067
4,600.8,331.8666666666667
5,606.9354838709677,351.6774193548387
6,714.8666666666667,428.9

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,21789812,627661
2,19703578,391923
3,22197630,16397523
4,23625759,15872436
5,28730714,19601502
6,31139619,21233022

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,521.9032258064516,51.03225806451613
2,504.2413793103448,29.310344827586206
3,492.2903225806452,305.61290322580646
4,569.4333333333333,315.4
5,577.0967741935484,334.16129032258067
6,676.3333333333334,404.1333333333333

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,7468,129.0
2,5813,91.0
3,6661,5439.0
4,7173,5261.0
5,8278,6046.0
6,8976,6433.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,14.6733987305251,2.1949478308621635
2,14.136066739959904,2.4964610717896867
3,15.083570280628011,19.549208876505126
4,14.722647581003107,19.568099638409
5,16.75237842147223,21.21042010640249
6,16.416068264478223,19.52234398072589

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,3351062046.0,48774401.0
2,2721738102.0,18207254.0
3,3139359454.0,2678077696.0
4,3398472338.0,2637809936.0
5,4064976111.0,3184327531.0
6,4457777995.0,3455672012.0

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.28138854,0.205045435
2,0.271750751,0.185146466
3,0.273546736,0.290191169
4,0.277489437,0.289289806
5,0.280146291,0.295299913
6,0.273806003,0.292369491

R burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,13178.11178575642,12202.752314235677
2,12451.56644066866,7374.343458890239
3,12865.067305406888,13632.362921863069
4,12806.977430745286,13539.728652089108
5,12896.661477303012,13770.89869656974
6,12662.01970408369,13756.98468912474

Ted,Old_2_vs_New_1
month,Old priority,New priority
1,5151906055.0,71967645.0
2,4228179124.0,35653893.0
3,4786373449.0,4009064538.0
4,5167017570.0,3976995403.0
5,6028572517.0,4624551444.0
6,6674549232.0,5030500889.0

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.432605336,0.302548812
2,0.422160697,0.362558367
3,0.417058593,0.434414254
4,0.421893325,0.436158881
5,0.415471624,0.428859666
6,0.409964706,0.425608964

B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.03923292,0.01419907
2,0.03874019,0.03617363
3,0.03786549,0.0380324
4,0.04273545,0.04605492
5,0.04489217,0.04288239
6,0.04296898,0.04051735

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,1837.373490896221,845.021015761821
2,1775.067808551325,1440.787768327258
3,1780.836551622395,1786.654777297022
4,1972.370174969193,2155.52407863669
5,2066.631470577038,1999.760335760868
6,1987.078469801937,1906.480134875833

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,467225705.0,3377549.0
2,388004972.0,3557305.0
3,434563297.0,350988331.0
4,523390122.0,419939201.0
5,651393973.0,462416581.0
6,699568859.0,478896371.0

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0297377010499823,0.0275206404803602
2,0.0267995205548388,0.0425273390036452
3,0.0280712394784076,0.0288928480529396
4,0.0288889475092421,0.0288830715532286
5,0.0286996027868373,0.0289012091542839
6,0.0277141047381262,0.0280659569894185

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0105624215287337,0.0198090692124105
2,0.0083801714827304,0.0164750957854406
3,0.0081593651817277,0.0062163485070974
4,0.0080213327199936,0.0058558182683859
5,0.0069078277571289,0.0051239497977388
6,0.0070516997936352,0.0059548074688448

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.0126693153662821,0.0068986283997253
2,0.0120032006369604,0.0069477933165443
3,0.0119612769471335,0.0129479312210752
4,0.0122772775257717,0.0133699704317598
5,0.01190134014769,0.0127797349407203
6,0.012272179694941,0.0128173464898213

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,4865.255331541218,436.2712634408602
2,4659.040680076629,269.1661781609195
3,4551.541120071684,2933.9222043010755
4,5181.26361111111,2959.2643148148145
5,5319.551173835125,3173.255
6,6145.3073796296285,3882.9487129629615

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,8202.90322580645,128.93548387096774
2,7537.448275862069,85.13793103448276
3,7871.677419354839,6337.096774193548
4,8845.366666666667,6494.0
5,10167.612903225809,7459.225806451613
6,11735.3,8373.133333333333

Eff online rs,Old_2_vs_New_1
month,Old priority,New priority
1,559.0322580645161,58.74193548387097
2,533.2068965517242,34.10344827586207
3,521.8709677419355,324.16129032258067
4,600.8,331.8666666666667
5,606.9354838709677,351.6774193548387
6,714.8666666666667,428.9

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,21789812,627661
2,19703578,391923
3,22197630,16397523
4,23625759,15872436
5,28730714,19601502
6,31139619,21233022

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,521.9032258064516,51.03225806451613
2,504.2413793103448,29.310344827586206
3,492.2903225806452,305.61290322580646
4,569.4333333333333,315.4
5,577.0967741935484,334.16129032258067
6,676.3333333333334,404.1333333333333

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,7468,129.0
2,5813,91.0
3,6661,5439.0
4,7173,5261.0
5,8278,6046.0
6,8976,6433.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,14.6733987305251,2.1949478308621635
2,14.136066739959904,2.4964610717896867
3,15.083570280628011,19.549208876505126
4,14.722647581003107,19.568099638409
5,16.75237842147223,21.21042010640249
6,16.416068264478223,19.52234398072589

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,3351062046.0,48774401.0
2,2721738102.0,18207254.0
3,3139359454.0,2678077696.0
4,3398472338.0,2637809936.0
5,4064976111.0,3184327531.0
6,4457777995.0,3455672012.0

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.28138854,0.205045435
2,0.271750751,0.185146466
3,0.273546736,0.290191169
4,0.277489437,0.289289806
5,0.280146291,0.295299913
6,0.273806003,0.292369491

R burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,13178.11178575642,12202.752314235677
2,12451.56644066866,7374.343458890239
3,12865.067305406888,13632.362921863069
4,12806.977430745286,13539.728652089108
5,12896.661477303012,13770.89869656974
6,12662.01970408369,13756.98468912474

Ted,Old_2_vs_New_1
month,Old priority,New priority
1,5151906055.0,71967645.0
2,4228179124.0,35653893.0
3,4786373449.0,4009064538.0
4,5167017570.0,3976995403.0
5,6028572517.0,4624551444.0
6,6674549232.0,5030500889.0

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.432605336,0.302548812
2,0.422160697,0.362558367
3,0.417058593,0.434414254
4,0.421893325,0.436158881
5,0.415471624,0.428859666
6,0.409964706,0.425608964

B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.03923292,0.01419907
2,0.03874019,0.03617363
3,0.03786549,0.0380324
4,0.04273545,0.04605492
5,0.04489217,0.04288239
6,0.04296898,0.04051735

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,1837.373490896221,845.021015761821
2,1775.067808551325,1440.787768327258
3,1780.836551622395,1786.654777297022
4,1972.370174969193,2155.52407863669
5,2066.631470577038,1999.760335760868
6,1987.078469801937,1906.480134875833

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,467225705.0,3377549.0
2,388004972.0,3557305.0
3,434563297.0,350988331.0
4,523390122.0,419939201.0
5,651393973.0,462416581.0
6,699568859.0,478896371.0

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0297377010499823,0.0275206404803602
2,0.0267995205548388,0.0425273390036452
3,0.0280712394784076,0.0288928480529396
4,0.0288889475092421,0.0288830715532286
5,0.0286996027868373,0.0289012091542839
6,0.0277141047381262,0.0280659569894185

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0105624215287337,0.0198090692124105
2,0.0083801714827304,0.0164750957854406
3,0.0081593651817277,0.0062163485070974
4,0.0080213327199936,0.0058558182683859
5,0.0069078277571289,0.0051239497977388
6,0.0070516997936352,0.0059548074688448

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.0126693153662821,0.0068986283997253
2,0.0120032006369604,0.0069477933165443
3,0.0119612769471335,0.0129479312210752
4,0.0122772775257717,0.0133699704317598
5,0.01190134014769,0.0127797349407203
6,0.012272179694941,0.0128173464898213

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,4865.255331541218,436.2712634408602
2,4659.040680076629,269.1661781609195
3,4551.541120071684,2933.9222043010755
4,5181.26361111111,2959.2643148148145
5,5319.551173835125,3173.255
6,6145.3073796296285,3882.9487129629615

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,8202.90322580645,128.93548387096774
2,7537.448275862069,85.13793103448276
3,7871.677419354839,6337.096774193548
4,8845.366666666667,6494.0
5,10167.612903225809,7459.225806451613
6,11735.3,8373.133333333333

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,21789812,627661
2,19703578,391923
3,22197630,16397523
4,23625759,15872436
5,28730714,19601502
6,31139619,21233022

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,521.9032258064516,51.03225806451613
2,504.2413793103448,29.310344827586206
3,492.2903225806452,305.61290322580646
4,569.4333333333333,315.4
5,577.0967741935484,334.16129032258067
6,676.3333333333334,404.1333333333333

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,7468,129.0
2,5813,91.0
3,6661,5439.0
4,7173,5261.0
5,8278,6046.0
6,8976,6433.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,14.6733987305251,2.1949478308621635
2,14.136066739959904,2.4964610717896867
3,15.083570280628011,19.549208876505126
4,14.722647581003107,19.568099638409
5,16.75237842147223,21.21042010640249
6,16.416068264478223,19.52234398072589

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,3351062046.0,48774401.0
2,2721738102.0,18207254.0
3,3139359454.0,2678077696.0
4,3398472338.0,2637809936.0
5,4064976111.0,3184327531.0
6,4457777995.0,3455672012.0

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.28138854,0.205045435
2,0.271750751,0.185146466
3,0.273546736,0.290191169
4,0.277489437,0.289289806
5,0.280146291,0.295299913
6,0.273806003,0.292369491

R burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,13178.11178575642,12202.752314235677
2,12451.56644066866,7374.343458890239
3,12865.067305406888,13632.362921863069
4,12806.977430745286,13539.728652089108
5,12896.661477303012,13770.89869656974
6,12662.01970408369,13756.98468912474

Ted,Old_2_vs_New_1
month,Old priority,New priority
1,5151906055.0,71967645.0
2,4228179124.0,35653893.0
3,4786373449.0,4009064538.0
4,5167017570.0,3976995403.0
5,6028572517.0,4624551444.0
6,6674549232.0,5030500889.0

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.432605336,0.302548812
2,0.422160697,0.362558367
3,0.417058593,0.434414254
4,0.421893325,0.436158881
5,0.415471624,0.428859666
6,0.409964706,0.425608964




